Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
04/04/2022,HLAL,A,00846U101,AGILENT TECHNOLOGIES INC,3530,133.76,472172.8,0.27%,174887160,4200000,168,
04/04/2022,HLAL,AAP,00751Y106,ADVANCE AUTO PARTS INC,733,207.48,152082.84,0.09%,174887160,4200000,168,
04/04/2022,HLAL,AAPL,37833100,APPLE INC,181793,174.31,31688337.83,18.12%,174887160,4200000,168,
04/04/2022,HLAL,ABC,3.07E+108,AMERISOURCEBERGEN CORP,1747,156.52,273440.44,0.16%,174887160,4200000,168,
04/04/2022,HLAL,ABT,2824100,ABBOTT LABS,20456,118.58,2425672.48,1.39%,174887160,4200000,168,
04/04/2022,HLAL,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,5549,458.19,2542496.31,1.45%,174887160,4200000,168,
04/04/2022,HLAL,ADI,32654105,ANALOG DEVICES INC,6175,165.36,1021098,0.58%,174887160,4200000,168,
04/04/2022,HLAL,ADM,39483102,ARCHER DANIELS MIDLAND CO,6552,91.17,597345.84,0.34%,174887160,4200000,168,
04/04/2022,HLAL,ADSK,52769106,AUTODESK INC,2593,213.04,552412.72,0.32%,174887160,4200000,168,
04/04/2022,HLAL,AGR,05351W103,AVANGRID INC,672,47.49,31913.28,0.02%,174887160,4200000,168,
04/04/2022,HLAL,AKAM,00971T101,AKAMAI TECHNOLOGIES INC,1891,120.51,227884.41,0.13%,174887160,4200000,168,
04/04/2022,HLAL,ALB,12653101,ALBEMARLE CORP,1368,224.92,307690.56,0.18%,174887160,4200000,168,
04/04/2022,HLAL,ALGN,16255101,ALIGN TECHNOLOGY INC,926,446.41,413375.66,0.24%,174887160,4200000,168,
04/04/2022,HLAL,ALLE,G0176J109,ALLEGION PLC,1056,111.52,117765.12,0.07%,174887160,4200000,168,
04/04/2022,HLAL,ALV,52800109,AUTOLIV INC,1029,76.99,79222.71,0.05%,174887160,4200000,168,
04/04/2022,HLAL,AMAT,38222105,APPLIED MATLS INC,10439,127.41,1330032.99,0.76%,174887160,4200000,168,
04/04/2022,HLAL,AMD,7903107,ADVANCED MICRO DEVICES INC,19240,108.19,2081575.6,1.19%,174887160,4200000,168,
04/04/2022,HLAL,ANSS,03662Q105,ANSYS INC,1025,316.49,324402.25,0.19%,174887160,4200000,168,
04/04/2022,HLAL,APD,9158106,AIR PRODS & CHEMS INC,2603,248.99,648120.97,0.37%,174887160,4200000,168,
04/04/2022,HLAL,APP,03831W108,APPLOVIN CORP,1971,53.27,104995.17,0.06%,174887160,4200000,168,
04/04/2022,HLAL,APTV,G6095L109,APTIV PLC,3175,119.07,378047.25,0.22%,174887160,4200000,168,
04/04/2022,HLAL,ARE,15271109,ALEXANDRIA REAL ESTATE EQ INC COM,1959,205.97,403495.23,0.23%,174887160,4200000,168,
04/04/2022,HLAL,AZO,53332102,AUTOZONE INC,243,1974.51,479805.93,0.27%,174887160,4200000,168,
04/04/2022,HLAL,BAX,71813109,BAXTER INTL INC,5918,78.58,465036.44,0.27%,174887160,4200000,168,
04/04/2022,HLAL,BDX,75887109,BECTON DICKINSON & CO,3361,262.5,882262.5,0.50%,174887160,4200000,168,
04/04/2022,HLAL,BG,G16962105,BUNGE LIMITED,1616,112.78,182252.48,0.10%,174887160,4200000,168,
04/04/2022,HLAL,BIIB,09062X103,BIOGEN INC,1722,210.65,362739.3,0.21%,174887160,4200000,168,
04/04/2022,HLAL,BILL,90043100,BILL COM HLDGS INC,1099,232.5,255517.5,0.15%,174887160,4200000,168,
04/04/2022,HLAL,BIO,90572207,BIO RAD LABS INC,250,570.89,142722.5,0.08%,174887160,4200000,168,
04/04/2022,HLAL,BKR,05722G100,BAKER HUGHES COMPANY,8672,36.42,315834.24,0.18%,174887160,4200000,168,
04/04/2022,HLAL,BMRN,09061G101,BIOMARIN PHARMACEUTICAL INC,2145,79.27,170034.15,0.10%,174887160,4200000,168,
04/04/2022,HLAL,BMY,110122108,BRISTOL-MYERS SQUIBB CO,25682,73.82,1895845.24,1.08%,174887160,4200000,168,
04/04/2022,HLAL,BSX,101137107,BOSTON SCIENTIFIC CORP,16703,44.99,751467.97,0.43%,174887160,4200000,168,
04/04/2022,HLAL,BURL,122017106,BURLINGTON STORES INC,780,181.95,141921,0.08%,174887160,4200000,168,
04/04/2022,HLAL,BWA,99724106,BORGWARNER INC,2817,39.36,110877.12,0.06%,174887160,4200000,168,
04/04/2022,HLAL,CAH,14149Y108,CARDINAL HEALTH INC,3263,57.6,187948.8,0.11%,174887160,4200000,168,
04/04/2022,HLAL,CARR,14448C104,CARRIER GLOBAL CORPORATION,10073,46.04,463760.92,0.27%,174887160,4200000,168,
04/04/2022,HLAL,CDAY,15677J108,CERIDIAN HCM HLDG INC,1541,69.02,106359.82,0.06%,174887160,4200000,168,
04/04/2022,HLAL,CDNS,127387108,CADENCE DESIGN SYSTEM INC,3234,165.63,535647.42,0.31%,174887160,4200000,168,
04/04/2022,HLAL,CEG,21037T109,CONSTELLATION ENERGY CORP,3830,58.02,222216.6,0.13%,174887160,4200000,168,
04/04/2022,HLAL,CERN,156782104,CERNER CORP,3439,93.49,321512.11,0.18%,174887160,4200000,168,
04/04/2022,HLAL,CF,125269100,CF INDS HLDGS INC,2515,99.79,250971.85,0.14%,174887160,4200000,168,
04/04/2022,HLAL,CHD,171340102,CHURCH & DWIGHT CO INC,2848,101.36,288673.28,0.17%,174887160,4200000,168,
04/04/2022,HLAL,CLVT,G21810109,CLARIVATE PLC,5473,17.01,93095.73,0.05%,174887160,4200000,168,
04/04/2022,HLAL,CMI,231021106,CUMMINS INC,1689,201.03,339539.67,0.19%,174887160,4200000,168,
04/04/2022,HLAL,COO,216648402,COOPER COS INC,570,428.42,244199.4,0.14%,174887160,4200000,168,
04/04/2022,HLAL,COP,20825C104,CONOCOPHILLIPS,15539,100.58,1562912.62,0.89%,174887160,4200000,168,
04/04/2022,HLAL,CPRT,217204106,COPART INC,2459,125.68,309047.12,0.18%,174887160,4200000,168,
04/04/2022,HLAL,CRM,79466L302,Salesforce Inc,11084,212.25,2352579,1.35%,174887160,4200000,168,
04/04/2022,HLAL,CSCO,17275R102,CISCO SYS INC,49770,55.66,2770198.2,1.58%,174887160,4200000,168,
04/04/2022,HLAL,CTAS,172908105,CINTAS CORP,1028,423.88,435748.64,0.25%,174887160,4200000,168,
04/04/2022,HLAL,CTLT,148806102,CATALENT INC,2001,114.05,228214.05,0.13%,174887160,4200000,168,
04/04/2022,HLAL,CTRA,127097103,COTERRA ENERGY INC,9365,27.1,253791.5,0.15%,174887160,4200000,168,
04/04/2022,HLAL,CTSH,192446102,COGNIZANT TECHNOLOGY SOLUTIONS CL A,6200,90.01,558062,0.32%,174887160,4200000,168,
04/04/2022,HLAL,CTVA,22052L104,CORTEVA INC,8589,58.29,500652.81,0.29%,174887160,4200000,168,
04/04/2022,HLAL,CVS,126650100,CVS HEALTH CORP,15501,101.09,1566996.09,0.90%,174887160,4200000,168,
04/04/2022,HLAL,CVX,166764100,CHEVRON CORP NEW,22784,164.22,3741588.48,2.14%,174887160,4200000,168,
04/04/2022,HLAL,DAL,247361702,DELTA AIR LINES INC DEL,1886,39.31,74138.66,0.04%,174887160,4200000,168,
04/04/2022,HLAL,DD,26614N102,DUPONT DE NEMOURS INC,6044,74.75,451789,0.26%,174887160,4200000,168,
04/04/2022,HLAL,DELL,24703L202,DELL TECHNOLOGIES INC,3189,48.8,155623.2,0.09%,174887160,4200000,168,
04/04/2022,HLAL,DGX,74834L100,QUEST DIAGNOSTICS INC,1434,136.33,195497.22,0.11%,174887160,4200000,168,
04/04/2022,HLAL,DHI,23331A109,D R HORTON INC,3865,76.18,294435.7,0.17%,174887160,4200000,168,
04/04/2022,HLAL,DHR,235851102,DANAHER CORPORATION,7467,291.69,2178049.23,1.25%,174887160,4200000,168,
04/04/2022,HLAL,DLTR,256746108,DOLLAR TREE INC,2620,159.43,417706.6,0.24%,174887160,4200000,168,
04/04/2022,HLAL,DOV,260003108,DOVER CORP,1689,158.55,267790.95,0.15%,174887160,4200000,168,
04/04/2022,HLAL,DOW,260557103,DOW INC,8668,64.18,556312.24,0.32%,174887160,4200000,168,
04/04/2022,HLAL,DOX,G02602103,AMDOCS LTD,1446,83.46,120683.16,0.07%,174887160,4200000,168,
04/04/2022,HLAL,DVN,25179M103,DEVON ENERGY CORP NEW,7933,60.35,478756.55,0.27%,174887160,4200000,168,
04/04/2022,HLAL,EA,285512109,ELECTRONIC ARTS INC,3298,125.23,413008.54,0.24%,174887160,4200000,168,
04/04/2022,HLAL,ECL,278865100,ECOLAB INC,2943,180.37,530828.91,0.30%,174887160,4200000,168,
04/04/2022,HLAL,EL,518439104,LAUDER ESTEE COS INC,2695,274.41,739534.95,0.42%,174887160,4200000,168,
04/04/2022,HLAL,EMBC,29082K105,EMBECTA CORP,672,30.5,20496,0.01%,174887160,4200000,168,
04/04/2022,HLAL,EMR,291011104,EMERSON ELEC CO,7024,98.42,691302.08,0.40%,174887160,4200000,168,
04/04/2022,HLAL,EOG,26875P101,EOG RES INC,6866,120.33,826185.78,0.47%,174887160,4200000,168,
04/04/2022,HLAL,ETN,G29183103,EATON CORP PLC,4687,151.81,711533.47,0.41%,174887160,4200000,168,
04/04/2022,HLAL,EW,2.82E+112,EDWARDS LIFESCIENCES CORP,7275,123.07,895334.25,0.51%,174887160,4200000,168,
04/04/2022,HLAL,EXAS,30063P105,EXACT SCIENCES CORP,2034,75.61,153790.74,0.09%,174887160,4200000,168,
04/04/2022,HLAL,EXC,30161N101,EXELON CORP,11491,47.66,547661.06,0.31%,174887160,4200000,168,
04/04/2022,HLAL,EXPD,302130109,EXPEDITORS INTL WASH INC,1979,100.02,197939.58,0.11%,174887160,4200000,168,
04/04/2022,HLAL,FANG,25278X109,DIAMONDBACK ENERGY INC,2125,138.44,294185,0.17%,174887160,4200000,168,
04/04/2022,HLAL,FAST,311900104,FASTENAL CO,6752,59.67,402891.84,0.23%,174887160,4200000,168,
04/04/2022,HLAL,FBHS,34964C106,FORTUNE BRANDS HOME & SEC INC COM,1592,74.9,119240.8,0.07%,174887160,4200000,168,
04/04/2022,HLAL,FCX,35671D857,FREEPORT-MCMORAN INC,17223,50.96,877684.08,0.50%,174887160,4200000,168,
04/04/2022,HLAL,FDX,31428X106,FEDEX CORP,2887,221.25,638748.75,0.37%,174887160,4200000,168,
04/04/2022,HLAL,FFIV,315616102,F5 INC,709,209.17,148301.53,0.08%,174887160,4200000,168,
04/04/2022,HLAL,FLEX,Y2573F102,FLEX LTD,5449,18.51,100860.99,0.06%,174887160,4200000,168,
04/04/2022,HLAL,FLT,339041105,FLEETCOR TECHNOLOGIES INC,934,249.6,233126.4,0.13%,174887160,4200000,168,
04/04/2022,HLAL,FMC,302491303,FMC CORP,1490,131.13,195383.7,0.11%,174887160,4200000,168,
04/04/2022,HLAL,FTV,34959J108,FORTIVE CORP,3843,60.63,233001.09,0.13%,174887160,4200000,168,
04/04/2022,HLAL,GLW,219350105,CORNING INC,8954,36.36,325567.44,0.19%,174887160,4200000,168,
04/04/2022,HLAL,GNRC,368736104,GENERAC HLDGS INC,722,301,217322,0.12%,174887160,4200000,168,
04/04/2022,HLAL,GNTX,371901109,GENTEX CORP,2783,29.38,81764.54,0.05%,174887160,4200000,168,
04/04/2022,HLAL,GPC,372460105,GENUINE PARTS CO,1638,125.93,206273.34,0.12%,174887160,4200000,168,
04/04/2022,HLAL,GRMN,H2906T109,GARMIN LTD,1781,116.11,206791.91,0.12%,174887160,4200000,168,
04/04/2022,HLAL,GWW,384802104,GRAINGER W W INC,541,517.55,279994.55,0.16%,174887160,4200000,168,
04/04/2022,HLAL,GXO,36262G101,GXO LOGISTICS INCORPORATED,1138,69.22,78772.36,0.05%,174887160,4200000,168,
04/04/2022,HLAL,HAL,406216101,HALLIBURTON CO,10426,38.58,402235.08,0.23%,174887160,4200000,168,
04/04/2022,HLAL,HAS,418056107,HASBRO INC,1504,84.45,127012.8,0.07%,174887160,4200000,168,
04/04/2022,HLAL,HES,42809H107,HESS CORP,3263,108.99,355634.37,0.20%,174887160,4200000,168,
04/04/2022,HLAL,HOLX,436440101,HOLOGIC INC,2911,76.93,223943.23,0.13%,174887160,4200000,168,
04/04/2022,HLAL,HPQ,40434L105,HP INC,12747,35.6,453793.2,0.26%,174887160,4200000,168,
04/04/2022,HLAL,HSIC,806407102,HENRY SCHEIN INC,1633,89.34,145892.22,0.08%,174887160,4200000,168,
04/04/2022,HLAL,HZNP,G46188101,HORIZON THERAPEUTICS PUB L,2568,107.15,275161.2,0.16%,174887160,4200000,168,
04/04/2022,HLAL,IBM,459200101,INTERNATIONAL BUSINESS MACHS COM,10524,130.15,1369698.6,0.78%,174887160,4200000,168,
04/04/2022,HLAL,ICLR,G4705A100,ICON PLC,947,246.63,233558.61,0.13%,174887160,4200000,168,
04/04/2022,HLAL,IDXX,45168D104,IDEXX LABS INC,995,553.44,550672.8,0.31%,174887160,4200000,168,
04/04/2022,HLAL,IEX,45167R104,IDEX CORP,893,192.16,171598.88,0.10%,174887160,4200000,168,
04/04/2022,HLAL,IFF,459506101,INTERNATIONAL FLAVORS&FRAGRANC COM,2997,134.33,402587.01,0.23%,174887160,4200000,168,
